Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,42365,1.04,61654.94,1377.63,37760.21,3204.01,19313.09,11289.8,7288.66,734.63,conventional,2015,Louisville
1,42358,1.05,56443.43,1703.96,30942.26,2554.61,21242.6,11290.59,9360.13,591.88,conventional,2015,Louisville
2,42351,0.91,76543.82,1830.69,47375.43,1613.63,25724.07,11718.37,13677.35,328.35,conventional,2015,Louisville
3,42344,0.83,103277.35,2186.88,65644.34,4604.01,30842.12,10619.03,19216.17,1006.92,conventional,2015,Louisville
4,42337,0.97,58667.71,1290.11,34019.62,2342.95,21015.03,10740.29,9710.74,564,conventional,2015,Louisville
5,42330,1.01,60971.36,1319.83,33164.09,3367.31,23120.13,12082.22,10219.32,818.59,conventional,2015,Louisville
6,42323,1.04,58816.5,1374.81,33868.95,1787.47,21785.27,12910.54,8473.25,401.48,conventional,2015,Louisville
7,42316,0.93,86929.62,2052.89,52494.09,6709.02,25673.62,10817.81,12978.02,1877.79,conventional,2015,Louisville
8,42309,0.89,103768.67,3443.02,60544.64,5446.36,34334.65,11070.08,21945.2,1319.37,conventional,2015,Louisville
9,42302,1.06,64602.5,2031.83,36450.26,4127.43,21992.98,11226.36,9879.33,887.29,conventional,2015,Louisville
10,42295,1.03,74092.73,1772.55,46436.42,2941.09,22942.67,12347.11,10100.74,494.82,conventional,2015,Louisville
11,42288,1.03,74536.59,2060.03,44941.49,4873.81,22661.26,11836.73,10132.33,692.2,conventional,2015,Louisville
12,42281,1.11,63157.22,1596.38,39700.73,4198.9,17661.21,10607.98,6299.47,753.76,conventional,2015,Louisville
13,42274,1.18,60980.52,1456.28,40352.61,4205.02,14966.61,8797.15,5225.48,943.98,conventional,2015,Louisville
14,42267,1.05,71064.71,1645.41,40184.52,7294.86,21939.92,9084.99,10942.97,1911.96,conventional,2015,Louisville
15,42260,0.98,85919.67,1730.17,56765.08,5424.16,22000.26,9468.95,11295.37,1235.94,conventional,2015,Louisville
16,42253,0.98,98154.04,2188.71,65116.35,3287.09,27561.89,10648.23,16180.34,733.32,conventional,2015,Louisville
17,42246,1.13,70164.74,4909.59,40377.06,5962.35,18915.74,10816.15,6584.54,1515.05,conventional,2015,Louisville
18,42239,1.15,65333.2,2607.26,39932.88,1974.24,20818.82,10968.34,9442.4,408.08,conventional,2015,Louisville
19,42232,1.09,78926.9,5051.31,45325.78,7750.34,20799.47,11076,7718.56,2004.91,conventional,2015,Louisville
20,42225,1.08,83592.89,3152.23,52753.42,4025.84,23661.4,12114.64,10835.71,711.05,conventional,2015,Louisville
21,42218,0.93,91136.65,2141.86,59505.29,3666.88,25822.62,11522.64,13604.5,695.48,conventional,2015,Louisville
22,42211,0.88,99545.41,1965.35,64026.49,2057.87,31495.7,13129.21,17841.09,525.4,conventional,2015,Louisville
23,42204,1.08,77503.36,5812.67,44739.72,4934.99,22015.98,13721.17,7346.56,948.25,conventional,2015,Louisville
24,42197,1.13,72693.94,2051.9,43381.39,1678.98,25581.67,13950.77,11355.84,275.06,conventional,2015,Louisville
25,42190,1.15,81748.59,1948.65,49319.51,3205.65,27274.78,16460.65,10376.77,437.36,conventional,2015,Louisville
26,42183,1.15,69230.74,2289.22,41216.44,1060.8,24664.28,15247.78,9197.48,219.02,conventional,2015,Louisville
27,42176,1.17,78272.57,3338.54,44777.85,6132.64,24023.54,15669.16,7104.77,1249.61,conventional,2015,Louisville
28,42169,1.07,82364.21,2241.94,50907.67,3570.35,25644.25,15803.53,9422.58,418.14,conventional,2015,Louisville
